feedback_id,text,source,date
F001,The app crashes every time I try to login. Very frustrating!,Mobile App,2025-12-28
F002,Love the new dark mode feature. Great update!,Web,2025-12-28
F003,Payment processing is extremely slow. Takes 5+ minutes.,Mobile App,2025-12-29
F004,Customer support was very helpful and responsive.,Support,2025-12-29
F005,The interface is confusing. Hard to find basic features.,Web,2025-12-29
F006,App freezes when uploading images. Please fix this bug.,Mobile App,2025-12-30
F007,Pricing is too high compared to competitors.,Support,2025-12-30
F008,Would love to see a calendar integration feature.,Web,2025-12-30
F009,The app is amazing! Best productivity tool I've used.,Mobile App,2025-12-31
F010,Login page doesn't load on Safari browser.,Web,2025-12-31
F011,Notifications are not working properly on iOS.,Mobile App,2025-12-31
F012,Great product but needs better documentation.,Support,2025-12-31
F013,App crashes when switching between tabs.,Mobile App,2026-01-01
F014,The search functionality is very fast and accurate.,Web,2026-01-01
F015,Please add export to PDF feature.,Support,2026-01-01
F016,Battery drain is excessive when app is running.,Mobile App,2026-01-01
F017,Love the clean and modern UI design!,Web,2026-01-01
F018,Sync between devices is broken. Data doesn't update.,Mobile App,2026-01-01
F019,The free tier is too limited. Need more features.,Support,2026-01-01
F020,App performance has improved significantly after update.,Mobile App,2026-01-01
F021,Cannot delete my account. This is a serious privacy issue.,Web,2026-01-01
F022,The onboarding tutorial was very helpful.,Mobile App,2025-12-28
F023,App keeps logging me out randomly.,Mobile App,2025-12-28
F024,Would appreciate dark mode for the web version too.,Web,2025-12-29
F025,The premium subscription is worth every penny!,Support,2025-12-29
F026,Error messages are not clear or helpful.,Mobile App,2025-12-30
F027,Loading times are unacceptably slow.,Web,2025-12-30
F028,Please add two-factor authentication for security.,Support,2025-12-30
F029,The app is intuitive and easy to use.,Mobile App,2025-12-31
F030,Offline mode doesn't work as advertised.,Mobile App,2025-12-31
F031,Customer service response time is too slow.,Support,2025-12-31
F032,Love the new widget feature on iOS!,Mobile App,2026-01-01
F033,The app uses too much storage space.,Mobile App,2026-01-01
